Day of Week,Director,Genre,Movie Title,Release Date,Studio,IMDb Rating,MovieLens Rating
Friday,Nora Ephron,romance,You've Got Mail,18/12/1998,WB,6.5,3.16
Friday,Rob Cohen,action,XXX,9/8/2002,Revolution Studios,5.8,2.81
Friday,Mike Newell,action,Prince of Persia: The Sands of Time,28/5/2010,Buena Vista Studios,6.6,3.26
Friday,Chuck Russell,action,Eraser,21/6/1996,WB,6,3.18
Friday,Jonathan Liebesman,action,Teenage Mutant Ninja Turtles,30/3/1990,New Line Cinema,6,2.81
Friday,Ivan Reitman,action,Kindergarten Cop,21/12/1990,Universal,5.9,2.82
Friday,Tim Johnson,animation,Home,27/3/2015,Fox,6.8,2.38
Thursday,David Fincher,drama,The Curious Case of Benjamin Button,25/12/2008,Paramount Pictures,7.8,3.65
Friday,Simon West,action,Lara Croft: Tomb Raider,15/6/2001,Paramount Pictures,5.7,2.77
Thursday,Todd Phillips,comedy,The Hangover Part III,23/5/2013,WB,5.9,2.93
Friday,David Fincher,drama,Gone Girl,3/10/2014,Fox,6.7,3.43
Friday,Doug Liman,action,Edge of Tomorrow,6/6/2014,WB,7.9,3.85
Friday,Genndy Tartakovsky,animation,Hotel Transylvania,28/9/2012,Sony,7.1,3.38
Friday,Mel Smith,comedy,Bean,17/10/1997,Gramercy Pictures,7.3,3.68
Friday,Bryan Singer,action,X-Men: First Class,3/6/2011,Fox,7.8,3.84
Sunday,"Ron Clements, John Musker",animation,Hercules,15/6/1997,Buena Vista Studios,6.1,2.9
Friday,Nora Ephron,romance,Sleepless in Seattle,25/6/1993,TriStar,6.8,3.52
Wednesday,"Simon J. Smith, Eric Darnell",animation,Penguins of Madagascar,26/11/2014,Fox,6.8,3.3
Friday,Timur Bekmambetov,action,Wanted,27/6/2008,Universal,6.7,3.51
Friday,Stephen Sommers,action,Van Helsing,7/5/2004,Universal,6,2.8
Friday,Sharon Maguire,comedy,Bridget Jones's Diary,13/4/2001,MiraMax,6.7,3.46
Wednesday,Peter Cattaneo,comedy,The Full Monty,13/8/1997,Fox Searchlight Pictures,7.2,3.73
Friday,Mark Dindal,animation,Chicken Little,4/11/2005,Buena Vista Studios,5.8,2.91
Wednesday,Jon M. Chu,action,G.I. Joe: Retaliation,27/3/2013,Paramount Pictures,5.8,2.75
Friday,Keenen Ivory Wayans,comedy,Scary Movie,7/7/2000,MiraMax,7.2,2.77
Friday,Peter Weir,drama,The Truman Show,5/6/1998,Paramount Pictures,5.5,2.81
Friday,David Frankel,comedy,The Devil Wears Prada,30/6/2006,Fox,6.8,3.41
Friday,James B. Rogers,comedy,American Pie 2,10/8/2001,Universal,6.4,2.98
Wednesday,Robert Zemeckis,animation,The Polar Express,10/11/2004,WB,6.6,3.16
Friday,Olivier Megaton,action,Taken 2,5/10/2012,Fox,6.3,3.17
Wednesday,Kevin Lima,comedy,Enchanted,21/11/2007,Buena Vista Studios,7.2,3.6
Friday,Luc Besson,action,The Fifth Element,9/5/1997,Sony,7.6,3.71
Friday,Harald Zwart,action,The Karate Kid,11/6/2010,Sony,7.2,3.2
Friday,Joe Johnston,action,Captain America: The First Avenger,22/7/2011,Paramount Pictures,6.8,3.56
Thursday,Jay Roach,action,Austin Powers in Goldmember,25/7/2002,New Line Cinema,6.2,2.99
Friday,Emile Ardolino,comedy,Sister Act,29/5/1992,Buena Vista Studios,6.2,2.97
Wednesday,Mike Newell,comedy,Four Weddings and a Funeral,9/3/1994,Gramercy Pictures,7.3,3.34
Wednesday,Steven Spielberg,animation,The Adventures of Tintin,21/12/2011,Paramount Pictures,7.4,3.58
Friday,"Karey Kirkpatrick, Tim Johnson",animation,Over the Hedge,19/5/2006,Pacific Data/DreamWorks,6.8,3.42
Friday,Chris Noonan,adventure,Babe,4/8/1995,Universal,6.8,3.65
Friday,"Peter Farrelly, Bobby Farrelly",comedy,Dumb and Dumber,16/12/1994,New Line Cinema,7.3,2.95
Wednesday,Martin Scorsese,biography,The Wolf of Wall Street,25/12/2013,Paramount Pictures,8.2,3.79
Friday,Robert Zemeckis,drama,What Lies Beneath,21/7/2000,DreamWorks,6.6,3.23
Friday,Tim Story,action,Fantastic Four,8/7/2005,Fox,5.7,2.9
Friday,Matthew Vaughn,action,Kingsman: The Secret Service,13/2/2015,Fox,7.9,3.66
Wednesday,"Ron Clements, John Musker",animation,The Little Mermaid,15/11/1989,Buena Vista Studios,6.6,3.24
Friday,Rob Marshall,comedy,Chicago,27/12/2002,MiraMax,7.2,3.58
Friday,Bryan Singer,action,X-Men,14/7/2000,Fox,7.4,3.59
Friday,Frank Darabont,crime,The Green Mile,10/12/1999,WB,8.5,3.99
Friday,Joe Johnston,adventure,Jumanji,15/12/1995,Sony,6.8,3.22
Friday,Rupert Sanders,action,Snow White and the Huntsman,1/6/2012,Universal,6.1,2.99
Thursday,Joseph McGinty Nichol,action,Terminator Salvation,21/5/2009,WB,6.7,3.27
Friday,Rob Reiner,thriller,A Few Good Men,11/12/1992,Colombia Pictures,7.6,3.81
Friday,"Kevin Reynolds, Kevin Costner",action,Waterworld,28/7/1995,Universal,6.1,2.86
Friday,Ivan Reitman,action,Ghostbusters II,16/6/1989,Colombia Pictures,6.5,2.98
Friday,Gavin Hood,action,X-Men Origins: Wolverine,1/5/2009,Fox,6.7,3.33
Friday,Tim Hill,animation,Alvin and the Chipmunks,14/12/2007,Fox,5.3,2.54
